rms,zcr,centroid,bandwidth,rolloff,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,label
0.08951782,0.054132634943181816,1722.194695426352,2310.283247436546,3590.66162109375,-228.25568,101.14471,38.57408,45.338615,0.011152181,14.257697,7.213409,7.247019,-4.6125627,3.4299688,4.8327675,3.3620858,1.1306407,ripe
0.03830819,0.15802556818181818,3023.694666152951,2910.835287693814,6354.252485795455,-347.03607,58.546703,30.80681,32.8489,-2.9645636,22.513037,7.1358366,10.113543,12.503056,2.3673575,1.8973836,6.298534,-1.4233886,ripe
0.0943273,0.14732776988636365,2792.9798344115334,2529.193172813451,5479.221413352273,-175.58131,76.50799,13.404441,21.488625,-8.336907,25.189026,7.7735744,8.466164,-1.2326633,-6.238698,1.8936242,18.261534,-5.3986716,ripe
0.078666575,0.10158469460227272,2023.5576809685642,2223.9191796015666,3804.0360884232955,-239.50307,99.24639,26.05138,39.113255,-7.803657,22.366522,8.166384,13.6813345,1.2442453,-1.2067169,4.996695,4.185673,0.33016396,ripe
0.1614934,0.1538973721590909,2945.5655314056185,2601.430220996276,5880.522017045455,-121.696014,57.564724,2.0580533,45.801815,-3.296567,15.306147,-3.098268,2.2923143,9.5713,16.526888,-1.032948,1.7112122,-5.8369613,ripe
0.09980912,0.07377485795454546,2030.4977085272023,2409.6933612317666,4419.68994140625,-212.9228,96.222404,25.790905,46.970924,-1.1800761,7.8151064,15.280816,5.9225693,-2.591514,14.146054,1.877552,6.253984,-1.9099631,ripe
0.05531813,0.060546875,2131.2365500215683,2664.6895523349017,4903.208229758523,-329.12698,74.75541,60.350708,61.313793,6.468553,14.151693,4.2996397,8.684826,6.9248676,6.887097,6.923294,9.042896,1.6761212,ripe
0.17460515,0.07523970170454546,2204.824762606674,2405.721751644205,4693.748890269886,-158.22455,84.31458,9.114773,54.01337,-7.1034393,5.003643,0.9699304,-2.2397358,2.392277,-0.65622145,-3.902952,8.779942,1.9425069,ripe
0.09099464,0.052068536931818184,2307.699022699801,2781.684462590756,5552.630060369318,-216.0313,87.95013,36.905758,26.391783,1.2073445,18.849174,4.5605106,11.059402,-0.103969336,6.8615522,-3.1887398,9.178521,-4.0956492,ripe
0.08713807,0.2025479403409091,3409.2203372315566,2514.4853108540165,6018.040882457386,-231.24684,33.77606,1.8223466,67.357994,-5.9863906,21.44129,3.6898172,6.4030375,6.1852665,10.368847,4.928004,2.9548972,-9.720981,ripe
0.10050306,0.044256036931818184,1838.9084754634323,2532.4103865345683,4318.386008522727,-246.83466,91.51354,48.089684,44.909817,1.1956414,18.090261,10.489624,5.3087816,9.7811575,-1.2796326,4.2453537,10.97681,-0.20919858,ripe
0.09335265,0.14992453835227273,3083.1772780061565,2995.6869487590902,6720.316938920455,-231.34154,64.41093,40.4375,24.176233,-24.992964,21.42632,5.254061,9.374755,13.655608,5.6854343,-4.393352,12.52226,-1.828664,ripe
0.02642106,0.0621337890625,1833.8894228420547,2346.868547085487,3911.6409301757812,-345.95764,104.30246,31.602764,38.444397,3.6589334,7.998869,0.794971,5.4624763,7.4627066,13.443901,6.8925786,6.1957083,3.4815638,ripe
0.07440103,0.161376953125,3177.903040428335,2650.680014260041,6133.047762784091,-275.3313,51.77524,20.590353,54.358288,-8.492314,9.458806,4.2844005,-8.668371,-4.2006574,8.064481,-3.0113175,11.385993,1.4150603,ripe
0.13589455,0.08853426846590909,2197.3628059267216,2377.381801842692,4445.627663352273,-150.46346,97.26611,2.2087681,33.087833,-9.980518,14.314328,10.02967,2.6844597,4.5756044,0.5085561,-5.3530025,6.47399,-7.3476853,ripe
0.17686273,0.14643998579545456,2659.521700635089,2386.5135315073803,5212.992720170455,-80.11695,81.10152,-7.898592,45.69619,-28.537691,6.0930176,-4.8408937,5.661732,1.6507401,9.342083,-11.879309,9.680877,3.4192595,ripe
0.047487102,0.025856711647727272,1127.4337379104347,2247.3557801996435,2733.248623934659,-411.81506,101.386795,65.01761,49.826694,19.903425,30.301258,14.03606,3.9642832,5.730502,11.775399,10.9458,1.2513922,4.5672116,ripe
0.08883173,0.07171075994318182,1858.8386996315305,2255.6485573999857,4063.4133078835225,-258.95642,98.1071,27.199791,48.997494,-10.041562,21.185675,-0.756152,13.087939,7.893999,4.6501083,12.037238,-2.8008127,-3.3926542,ripe
0.19660702,0.14830433238636365,2710.2512587148294,2332.355967460531,5107.284268465909,-75.87307,73.48611,-14.054477,54.693077,-16.10414,7.965401,-3.2996264,5.170017,4.9317303,5.1591763,-6.4553957,14.211811,5.765205,ripe
0.100241154,0.16228693181818182,3618.573210453408,3078.57100105799,7372.675115411932,-219.70277,43.508938,39.718674,40.662,-7.034082,19.819336,9.408454,7.8936048,-10.357324,7.05197,-5.8877306,10.130052,3.2764091,ripe
